imagen1.png : ulleres: si , cabell: ros , sexe: home
imagen2.png : ulleres: si , cabell: castany , sexe: home
imagen3.png : ulleres: si , cabell: negre , sexe: home
imagen4.png : ulleres: no , cabell: ros , sexe: home
imagen5.png : ulleres: no , cabell: castany , sexe: home
imagen6.png : ulleres: no , cabell: negre , sexe: home
imagen7.png : ulleres: si , cabell: ros , sexe: dona
imagen8.png : ulleres: si , cabell: castany , sexe: dona
imagen9.png : ulleres: si , cabell: negre , sexe: dona
imagen10.png : ulleres: no , cabell: ros , sexe: dona
imagen11.png : ulleres: no , cabell: castany , sexe: dona
imagen12.png : ulleres: no , cabell: negre , sexe: dona
