imagen1.jpg : ulleres: i , cabell: ros , sexe: home
imagen2.jpg : ulleres: si , cabell: castany , sexe: home
imagen3.jpg : ulleres: si , cabell: negre , sexe: home
imagen4.jpg : ulleres: no , cabell: ros , sexe: home
imagen5.jpg : ulleres: no , cabell: castany , sexe: home
imagen6.jpg : ulleres: no , cabell: negre , sexe: home
imagen7.jpg : ulleres: si , cabell: ros , sexe: dona
imagen8.jpg : ulleres: si , cabell: castany , sexe: dona
imagen9.jpg : ulleres: si , cabell: negre , sexe: dona
imagen10.jpg : ulleres: no , cabell: ros , sexe: dona
imagen11.jpg : ulleres: no , cabell: castany , sexe: dona
imagen12.jpg : ulleres: no , cabell: negre , sexe: dona
